iteration,weight_lbs,freeboard_in,gm_in,safety_factor
747,192.72,11.72,11.14,121.23
748,176.05,10.85,9.30,90.28
749,172.18,10.36,8.52,98.28
750,178.16,11.52,10.67,111.88
751,122.20,11.54,10.71,137.78
752,173.51,10.81,9.22,117.09
753,155.25,10.55,8.80,93.36
754,150.28,11.29,10.15,109.76
755,174.47,11.22,10.01,107.81
756,223.43,11.42,10.42,106.71
757,176.08,10.88,9.36,104.95
758,192.32,9.96,7.99,82.17
759,193.34,10.69,9.03,87.59
760,203.57,10.74,9.12,106.00
761,196.61,10.65,8.96,104.27
762,188.10,10.85,9.29,93.61
763,197.64,11.11,9.79,116.43
764,146.14,10.79,9.20,95.86
765,179.65,10.81,9.22,104.33
766,154.31,11.07,9.70,115.39
767,211.08,11.09,9.74,104.70
768,186.15,10.31,8.45,98.49
769,170.94,10.68,9.02,94.42
