# NAU Concrete Canoe 2026 — Design C CNC Coordinates
# Design C — Long & Stable (Speed)
# Hull: 216" × 36" × 18", thickness 0.5"
# Stations every 6.0" (37 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
29, 174.0, -9.292, 2.490
29, 174.0, -8.260, 2.213
29, 174.0, -7.227, 1.936
29, 174.0, -6.195, 1.660
29, 174.0, -5.162, 1.383
29, 174.0, -4.130, 1.107
29, 174.0, -3.097, 0.830
29, 174.0, -2.065, 0.553
29, 174.0, -1.032, 0.277
29, 174.0, 0.000, 0.000
29, 174.0, 1.032, 0.277
29, 174.0, 2.065, 0.553
29, 174.0, 3.097, 0.830
29, 174.0, 4.130, 1.107
29, 174.0, 5.162, 1.383
29, 174.0, 6.195, 1.660
29, 174.0, 7.227, 1.936
29, 174.0, 8.260, 2.213
29, 174.0, 9.292, 2.490
29, 174.0, 10.324, 2.766
29, 174.0, 10.324, 18.000
29, 174.0, -10.324, 18.000
# --- Station 30 at 180" (beam=18.0") ---
30, 180.0, -9.000, 2.412
30, 180.0, -8.100, 2.170
30, 180.0, -7.200, 1.929
30, 180.0, -6.300, 1.688
30, 180.0, -5.400, 1.447
30, 180.0, -4.500, 1.206
30, 180.0, -3.600, 0.965
30, 180.0, -2.700, 0.723
30, 180.0, -1.800, 0.482
30, 180.0, -0.900, 0.241
30, 180.0, 0.000, 0.000
30, 180.0, 0.900, 0.241
30, 180.0, 1.800, 0.482
30, 180.0, 2.700, 0.723
30, 180.0, 3.600, 0.965
30, 180.0, 4.500, 1.206
30, 180.0, 5.400, 1.447
30, 180.0, 6.300, 1.688
30, 180.0, 7.200, 1.929
30, 180.0, 8.100, 2.170
30, 180.0, 9.000, 2.412
30, 180.0, 9.000, 18.000
30, 180.0, -9.000, 18.000
# --- Station 31 at 186" (beam=15.2") ---
31, 186.0, -7.607, 2.038
31, 186.0, -6.846, 1.834
31, 186.0, -6.086, 1.631
31, 186.0, -5.325, 1.427
31, 186.0, -4.564, 1.223
31, 186.0, -3.804, 1.019
31, 186.0, -3.043, 0.815
31, 186.0, -2.282, 0.611
31, 186.0, -1.521, 0.408
31, 186.0, -0.761, 0.204
31, 186.0, 0.000, 0.000
31, 186.0, 0.761, 0.204
31, 186.0, 1.521, 0.408
31, 186.0, 2.282, 0.611
31, 186.0, 3.043, 0.815
31, 186.0, 3.804, 1.019
31, 186.0, 4.564, 1.223
31, 186.0, 5.325, 1.427
31, 186.0, 6.086, 1.631
31, 186.0, 6.846, 1.834
31, 186.0, 7.607, 2.038
31, 186.0, 7.607, 18.000
31, 186.0, -7.607, 18.000
# --- Station 32 at 192" (beam=12.3") ---
32, 192.0, -6.156, 1.650
32, 192.0, -5.541, 1.485
32, 192.0, -4.925, 1.320
32, 192.0, -4.309, 1.155
32, 192.0, -3.694, 0.990
32, 192.0, -3.078, 0.825
32, 192.0, -2.463, 0.660
