# NAU Concrete Canoe 2026 — Design A CNC Coordinates
# Design A — Optimal (Lightest)
# Hull: 192" × 32" × 17", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=17"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
26, 156.0, -8.889, 2.382
26, 156.0, -8.000, 2.144
26, 156.0, -7.111, 1.905
26, 156.0, -6.222, 1.667
26, 156.0, -5.333, 1.429
26, 156.0, -4.445, 1.191
26, 156.0, -3.556, 0.953
26, 156.0, -2.667, 0.715
26, 156.0, -1.778, 0.476
26, 156.0, -0.889, 0.238
26, 156.0, 0.000, 0.000
26, 156.0, 0.889, 0.238
26, 156.0, 1.778, 0.476
26, 156.0, 2.667, 0.715
26, 156.0, 3.556, 0.953
26, 156.0, 4.445, 1.191
26, 156.0, 5.333, 1.429
26, 156.0, 6.222, 1.667
26, 156.0, 7.111, 1.905
26, 156.0, 8.000, 2.144
26, 156.0, 8.889, 2.382
26, 156.0, 8.889, 17.000
26, 156.0, -8.889, 17.000
# --- Station 27 at 162" (beam=15.1") ---
27, 162.0, -7.542, 2.021
27, 162.0, -6.788, 1.819
27, 162.0, -6.034, 1.617
27, 162.0, -5.280, 1.415
27, 162.0, -4.525, 1.213
27, 162.0, -3.771, 1.010
27, 162.0, -3.017, 0.808
27, 162.0, -2.263, 0.606
27, 162.0, -1.508, 0.404
27, 162.0, -0.754, 0.202
27, 162.0, -0.000, 0.000
27, 162.0, 0.754, 0.202
27, 162.0, 1.508, 0.404
27, 162.0, 2.263, 0.606
27, 162.0, 3.017, 0.808
27, 162.0, 3.771, 1.010
27, 162.0, 4.525, 1.213
27, 162.0, 5.280, 1.415
27, 162.0, 6.034, 1.617
27, 162.0, 6.788, 1.819
27, 162.0, 7.542, 2.021
27, 162.0, 7.542, 17.000
27, 162.0, -7.542, 17.000
# --- Station 28 at 168" (beam=12.2") ---
28, 168.0, -6.123, 1.641
28, 168.0, -5.511, 1.477
28, 168.0, -4.898, 1.313
28, 168.0, -4.286, 1.148
28, 168.0, -3.674, 0.984
28, 168.0, -3.061, 0.820
28, 168.0, -2.449, 0.656
28, 168.0, -1.837, 0.492
28, 168.0, -1.225, 0.328
28, 168.0, -0.612, 0.164
28, 168.0, 0.000, 0.000
28, 168.0, 0.612, 0.164
28, 168.0, 1.225, 0.328
28, 168.0, 1.837, 0.492
28, 168.0, 2.449, 0.656
28, 168.0, 3.061, 0.820
28, 168.0, 3.674, 0.984
28, 168.0, 4.286, 1.148
28, 168.0, 4.898, 1.313
28, 168.0, 5.511, 1.477
28, 168.0, 6.123, 1.641
28, 168.0, 6.123, 17.000
