# NAU Concrete Canoe 2026 — Design B CNC Coordinates
# Design B — Conservative (Extra Margin)
# Hull: 196" × 34" × 18", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
22, 132.0, 10.176, 2.727
22, 132.0, 11.630, 3.116
22, 132.0, 13.084, 3.506
22, 132.0, 14.537, 3.895
22, 132.0, 14.537, 18.000
22, 132.0, -14.537, 18.000
# --- Station 23 at 138" (beam=27.2") ---
23, 138.0, -13.624, 3.651
23, 138.0, -12.262, 3.285
23, 138.0, -10.899, 2.920
23, 138.0, -9.537, 2.555
23, 138.0, -8.174, 2.190
23, 138.0, -6.812, 1.825
23, 138.0, -5.450, 1.460
23, 138.0, -4.087, 1.095
23, 138.0, -2.725, 0.730
23, 138.0, -1.362, 0.365
23, 138.0, 0.000, 0.000
23, 138.0, 1.362, 0.365
23, 138.0, 2.725, 0.730
23, 138.0, 4.087, 1.095
23, 138.0, 5.450, 1.460
23, 138.0, 6.812, 1.825
23, 138.0, 8.174, 2.190
23, 138.0, 9.537, 2.555
23, 138.0, 10.899, 2.920
23, 138.0, 12.262, 3.285
23, 138.0, 13.624, 3.651
23, 138.0, 13.624, 18.000
23, 138.0, -13.624, 18.000
# --- Station 24 at 144" (beam=25.2") ---
24, 144.0, -12.585, 3.372
24, 144.0, -11.326, 3.035
24, 144.0, -10.068, 2.698
24, 144.0, -8.809, 2.360
24, 144.0, -7.551, 2.023
24, 144.0, -6.292, 1.686
24, 144.0, -5.034, 1.349
24, 144.0, -3.775, 1.012
24, 144.0, -2.517, 0.674
24, 144.0, -1.258, 0.337
24, 144.0, 0.000, 0.000
24, 144.0, 1.258, 0.337
24, 144.0, 2.517, 0.674
24, 144.0, 3.775, 1.012
24, 144.0, 5.034, 1.349
24, 144.0, 6.292, 1.686
24, 144.0, 7.551, 2.023
24, 144.0, 8.809, 2.360
24, 144.0, 10.068, 2.698
24, 144.0, 11.326, 3.035
24, 144.0, 12.585, 3.372
24, 144.0, 12.585, 18.000
24, 144.0, -12.585, 18.000
# --- Station 25 at 150" (beam=22.9") ---
25, 150.0, -11.429, 3.062
25, 150.0, -10.286, 2.756
25, 150.0, -9.143, 2.450
25, 150.0, -8.000, 2.144
25, 150.0, -6.857, 1.837
25, 150.0, -5.715, 1.531
25, 150.0, -4.572, 1.225
25, 150.0, -3.429, 0.919
25, 150.0, -2.286, 0.612
25, 150.0, -1.143, 0.306
25, 150.0, 0.000, 0.000
25, 150.0, 1.143, 0.306
25, 150.0, 2.286, 0.612
25, 150.0, 3.429, 0.919
25, 150.0, 4.572, 1.225
25, 150.0, 5.715, 1.531
25, 150.0, 6.857, 1.837
25, 150.0, 8.000, 2.144
25, 150.0, 9.143, 2.450
25, 150.0, 10.286, 2.756
25, 150.0, 11.429, 3.062
25, 150.0, 11.429, 18.000
25, 150.0, -11.429, 18.000
# --- Station 26 at 156" (beam=20.3") ---
26, 156.0, -10.168, 2.724
26, 156.0, -9.151, 2.452
26, 156.0, -8.134, 2.180
26, 156.0, -7.118, 1.907
26, 156.0, -6.101, 1.635
26, 156.0, -5.084, 1.362
26, 156.0, -4.067, 1.090
26, 156.0, -3.050, 0.817
26, 156.0, -2.034, 0.545
26, 156.0, -1.017, 0.272
26, 156.0, 0.000, 0.000
26, 156.0, 1.017, 0.272
26, 156.0, 2.034, 0.545
26, 156.0, 3.050, 0.817
26, 156.0, 4.067, 1.090
26, 156.0, 5.084, 1.362
26, 156.0, 6.101, 1.635
26, 156.0, 7.118, 1.907
26, 156.0, 8.134, 2.180
26, 156.0, 9.151, 2.452
26, 156.0, 10.168, 2.724
26, 156.0, 10.168, 18.000
26, 156.0, -10.168, 18.000
# --- Station 27 at 162" (beam=17.6") ---
27, 162.0, -8.813, 2.361
27, 162.0, -7.931, 2.125
27, 162.0, -7.050, 1.889
27, 162.0, -6.169, 1.653
27, 162.0, -5.288, 1.417
27, 162.0, -4.406, 1.181
27, 162.0, -3.525, 0.945
27, 162.0, -2.644, 0.708
27, 162.0, -1.763, 0.472
27, 162.0, -0.881, 0.236
27, 162.0, 0.000, 0.000
27, 162.0, 0.881, 0.236
27, 162.0, 1.763, 0.472
27, 162.0, 2.644, 0.708
27, 162.0, 3.525, 0.945
27, 162.0, 4.406, 1.181
27, 162.0, 5.288, 1.417
27, 162.0, 6.169, 1.653
27, 162.0, 7.050, 1.889
27, 162.0, 7.931, 2.125
27, 162.0, 8.813, 2.361
27, 162.0, 8.813, 18.000
27, 162.0, -8.813, 18.000
# --- Station 28 at 168" (beam=14.8") ---
28, 168.0, -7.376, 1.976
28, 168.0, -6.638, 1.779
28, 168.0, -5.901, 1.581
28, 168.0, -5.163, 1.383
28, 168.0, -4.426, 1.186
28, 168.0, -3.688, 0.988
28, 168.0, -2.950, 0.791
28, 168.0, -2.213, 0.593
28, 168.0, -1.475, 0.395
28, 168.0, -0.738, 0.198
28, 168.0, -0.000, 0.000
28, 168.0, 0.738, 0.198
28, 168.0, 1.475, 0.395
28, 168.0, 2.213, 0.593
28, 168.0, 2.950, 0.791
28, 168.0, 3.688, 0.988
